VW,Stellantis,Renault,BMW,Hyundai,Toyota,Share strategy 0,Share strategy 1,Payoff P1,Payoff P2,Payoff P3,Payoff P4,Payoff P5,Payoff P6
0,0,0,0,0,0,1.0,0.0,0.993,0.993,0.993,0.993,0.993,0.993
0,0,0,0,0,1,0.914,0.086,0.984,0.984,0.984,0.984,0.984,0.016
0,0,0,0,1,0,0.911,0.089,0.984,0.984,0.984,0.984,0.016,0.984
0,0,0,0,1,1,0.825,0.175,0.963,0.963,0.963,0.963,0.037,0.037
0,0,0,1,0,0,0.91,0.09,0.984,0.984,0.984,0.016,0.984,0.984
0,0,0,1,0,1,0.823,0.177,0.962,0.962,0.962,0.038,0.962,0.038
0,0,0,1,1,0,0.821,0.179,0.961,0.961,0.961,0.039,0.039,0.961
0,0,0,1,1,1,0.734,0.266,0.912,0.912,0.912,0.088,0.088,0.088
0,0,1,0,0,0,0.872,0.128,0.976,0.976,0.024,0.976,0.976,0.976
0,0,1,0,0,1,0.786,0.214,0.946,0.946,0.054,0.946,0.946,0.054
0,0,1,0,1,0,0.783,0.217,0.944,0.944,0.056,0.944,0.056,0.944
0,0,1,0,1,1,0.697,0.303,0.878,0.878,0.122,0.878,0.122,0.122
0,0,1,1,0,0,0.782,0.218,0.944,0.944,0.056,0.056,0.944,0.944
0,0,1,1,0,1,0.695,0.305,0.875,0.875,0.125,0.125,0.875,0.125
0,0,1,1,1,0,0.693,0.307,0.873,0.873,0.127,0.127,0.127,0.873
0,0,1,1,1,1,0.607,0.393,0.745,0.745,0.255,0.255,0.255,0.255
0,1,0,0,0,0,0.716,0.284,0.897,0.103,0.897,0.897,0.897,0.897
0,1,0,0,0,1,0.629,0.371,0.784,0.216,0.784,0.784,0.784,0.216
0,1,0,0,1,0,0.627,0.373,0.781,0.219,0.781,0.781,0.219,0.781
0,1,0,0,1,1,0.54,0.46,0.599,0.401,0.599,0.599,0.401,0.401
0,1,0,1,0,0,0.625,0.375,0.777,0.223,0.777,0.223,0.777,0.777
0,1,0,1,0,1,0.539,0.461,0.596,0.404,0.596,0.404,0.596,0.404
0,1,0,1,1,0,0.536,0.464,0.589,0.411,0.589,0.411,0.411,0.589
0,1,0,1,1,1,0.45,0.55,0.378,0.622,0.378,0.622,0.622,0.622
0,1,1,0,0,0,0.588,0.412,0.707,0.293,0.293,0.707,0.707,0.707
0,1,1,0,0,1,0.501,0.499,0.502,0.498,0.498,0.502,0.502,0.498
0,1,1,0,1,0,0.499,0.501,0.498,0.502,0.502,0.498,0.502,0.498
0,1,1,0,1,1,0.412,0.588,0.293,0.707,0.707,0.293,0.707,0.707
0,1,1,1,0,0,0.497,0.503,0.493,0.507,0.507,0.507,0.493,0.493
0,1,1,1,0,1,0.411,0.589,0.291,0.709,0.709,0.709,0.291,0.709
0,1,1,1,1,0,0.409,0.591,0.287,0.713,0.713,0.713,0.713,0.287
0,1,1,1,1,1,0.322,0.678,0.144,0.856,0.856,0.856,0.856,0.856
1,0,0,0,0,0,0.678,0.322,0.144,0.856,0.856,0.856,0.856,0.856
1,0,0,0,0,1,0.591,0.409,0.287,0.713,0.713,0.713,0.713,0.287
1,0,0,0,1,0,0.589,0.411,0.291,0.709,0.709,0.709,0.291,0.709
1,0,0,0,1,1,0.503,0.497,0.493,0.507,0.507,0.507,0.493,0.493
1,0,0,1,0,0,0.588,0.412,0.293,0.707,0.707,0.293,0.707,0.707
1,0,0,1,0,1,0.501,0.499,0.498,0.502,0.502,0.498,0.502,0.498
1,0,0,1,1,0,0.499,0.501,0.502,0.498,0.498,0.502,0.502,0.498
1,0,0,1,1,1,0.412,0.588,0.707,0.293,0.293,0.707,0.707,0.707
1,0,1,0,0,0,0.55,0.45,0.378,0.622,0.378,0.622,0.622,0.622
1,0,1,0,0,1,0.464,0.536,0.589,0.411,0.589,0.411,0.411,0.589
1,0,1,0,1,0,0.461,0.539,0.596,0.404,0.596,0.404,0.596,0.404
1,0,1,0,1,1,0.375,0.625,0.777,0.223,0.777,0.223,0.777,0.777
1,0,1,1,0,0,0.46,0.54,0.599,0.401,0.599,0.599,0.401,0.401
1,0,1,1,0,1,0.373,0.627,0.781,0.219,0.781,0.781,0.219,0.781
1,0,1,1,1,0,0.371,0.629,0.784,0.216,0.784,0.784,0.784,0.216
1,0,1,1,1,1,0.284,0.716,0.897,0.103,0.897,0.897,0.897,0.897
1,1,0,0,0,0,0.393,0.607,0.745,0.745,0.255,0.255,0.255,0.255
1,1,0,0,0,1,0.307,0.693,0.873,0.873,0.127,0.127,0.127,0.873
1,1,0,0,1,0,0.305,0.695,0.875,0.875,0.125,0.125,0.875,0.125
1,1,0,0,1,1,0.218,0.782,0.944,0.944,0.056,0.056,0.944,0.944
1,1,0,1,0,0,0.303,0.697,0.878,0.878,0.122,0.878,0.122,0.122
1,1,0,1,0,1,0.217,0.783,0.944,0.944,0.056,0.944,0.056,0.944
1,1,0,1,1,0,0.214,0.786,0.946,0.946,0.054,0.946,0.946,0.054
1,1,0,1,1,1,0.128,0.872,0.976,0.976,0.024,0.976,0.976,0.976
1,1,1,0,0,0,0.266,0.734,0.912,0.912,0.912,0.088,0.088,0.088
1,1,1,0,0,1,0.179,0.821,0.961,0.961,0.961,0.039,0.039,0.961
1,1,1,0,1,0,0.177,0.823,0.962,0.962,0.962,0.038,0.962,0.038
1,1,1,0,1,1,0.09,0.91,0.984,0.984,0.984,0.016,0.984,0.984
1,1,1,1,0,0,0.175,0.825,0.963,0.963,0.963,0.963,0.037,0.037
1,1,1,1,0,1,0.089,0.911,0.984,0.984,0.984,0.984,0.016,0.984
1,1,1,1,1,0,0.086,0.914,0.984,0.984,0.984,0.984,0.984,0.016
1,1,1,1,1,1,0.0,1.0,0.993,0.993,0.993,0.993,0.993,0.993
